LogFile
9/16/2022 1:04:34 PM,1,100,0,0,0,
9/16/2022 1:04:35 PM,1,100,0,0,0,
9/16/2022 1:04:36 PM,1,100,0,0,0,
9/16/2022 1:04:37 PM,1,100,0,0,0,
9/16/2022 1:04:38 PM,1,100,0,0,0,
9/16/2022 1:05:10 PM,1,100,0,0,0,
9/16/2022 1:05:11 PM,1,100,0,0,0,
9/16/2022 1:05:12 PM,1,100,0,0,0,
9/16/2022 1:05:13 PM,1,100,0,0,0,
9/16/2022 1:05:14 PM,1,100,0,0,0,
9/16/2022 1:05:15 PM,1,100,0,0,0,
9/16/2022 1:05:16 PM,1,100,0,0,0,
9/16/2022 1:05:17 PM,1,175,0,0,0,
9/16/2022 1:05:18 PM,1,425,0,0,0,
9/16/2022 1:05:19 PM,1,675,0,0,0,
9/16/2022 1:05:20 PM,1,925,0,0,0,
9/16/2022 1:05:21 PM,1,1175,0,0,0,
9/16/2022 1:05:22 PM,1,1425,0,0,0,
9/16/2022 1:05:23 PM,1,1450,0,0,0,
9/16/2022 1:05:24 PM,1,1450,0,0,0,
9/16/2022 1:05:25 PM,1,1450,0,0,0,
9/16/2022 1:07:50 PM,1,100,0,0,0,
9/16/2022 1:07:51 PM,1,100,0,0,0,
9/16/2022 1:07:52 PM,1,100,0,0,0,
9/16/2022 1:07:53 PM,1,100,0,0,0,
9/16/2022 1:07:54 PM,1,100,0,0,0,
9/16/2022 1:07:55 PM,1,100,0,0,0,
